#Chromosome	FeatureStart	FeatureStop	Sequence_IUPAC_Plus	SimilarBlocks	Function	Bile	BSK30	Calcutta	Ensete01	EnseteBedadit	EnseteDerea	FHIA	Itinerans	Kole	Lidi	MasKirana	Pahang	PKW	Tanduk	TongkatLangitMaluku
chr01	6812587	6818140	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6946178	6951255	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	7075302	7092224	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	7458759	7474716	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	7991694	8003539	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	8122088	8127256	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	8511833	8520256	.	.	3	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1
chr01	8763918	8789723	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	9168351	9175134	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0
chr01	9698754	9709969	.	.	3	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0
chr01	9953701	9962308	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	10209804	10226422	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	10747343	10751124	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	11009614	11011943	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	11138288	11142663	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	11266487	11274901	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	11391269	11418046	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	11665167	11669012	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	11792309	11798472	.	.	3	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
chr01	11927316	11932579	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	12058117	12067383	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	12319059	12323260	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	12451486	12452002	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	12836428	12847074	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	12976122	12977642	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	13105468	13108195	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	13235266	13240679	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	13886473	13893987	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	14286124	14293947	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	14548103	14553115	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	14778577	14816116	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	15195273	15218313	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	15329598	15337813	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	15460717	15467325	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	16506260	16515885	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	17693008	17699431	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	19783525	19793839	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	21230397	21235227	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	21621051	21629653	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	22123997	22180623	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	23853391	23856722	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	23978169	23986718	.	.	3	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
chr01	25292075	25302481	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	25420018	25445788	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0
chr01	26035748	26108020	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	26340694	26345543	.	.	3	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0
chr01	27600675	27665844	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
chr01	28037609	28050573	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	28957823	28981591	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	12447	30055	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	46841	50505	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	61858	68096	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	109033	114805	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	175981	183238	.	.	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
chr01	195931	201809	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	212967	215314	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	227135	232666	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	242430	250536	.	.	3	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0
chr01	278027	282823	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	291726	296401	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	322226	331867	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1
chr01	342072	345534	.	.	3	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
chr01	358845	377297	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	409238	412395	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	437475	457837	.	.	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
chr01	458559	463051	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	471953	486269	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	539205	543875	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
chr01	556260	557903	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	566606	574583	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	587471	591396	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	606153	610966	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	618778	627417	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	666508	675943	.	.	3	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
chr01	687779	691401	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	718720	722691	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	753378	753868	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	765701	770930	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	817279	822829	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	850731	856506	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	883039	890119	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
chr01	892615	915190	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	932823	936350	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	947614	953537	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	962836	967536	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	989036	1000513	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1031964	1035428	.	.	3	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0
chr01	1064516	1076548	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1112306	1115890	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1145040	1153030	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1161104	1163524	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1193739	1204855	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1205696	1213285	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1228778	1232256	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1242507	1248844	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1260125	1262510	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1291495	1294459	.	.	3	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1
chr01	1392169	1395655	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1406402	1411493	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1423440	1428202	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	1455343	1463646	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	1469685	1484570	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	1539729	1541210	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1599016	1629489	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1649861	1659974	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1664886	1672413	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1730414	1738181	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1769003	1778813	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1783206	1789733	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1799467	1802533	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1818580	1819269	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1883320	1894334	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	1897660	1903847	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1911496	1918830	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1932947	1936712	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1941853	1957028	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2011536	2016027	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	2047494	2050571	.	.	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
chr01	2063125	2067117	.	.	3	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0
chr01	2108050	2124466	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2160776	2165992	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2171038	2183720	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	2194245	2195997	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2196776	2212628	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2236463	2252735	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2260487	2263252	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2276685	2278472	.	.	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
chr01	2307244	2313495	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	2336773	2343694	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	2386565	2392476	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2404892	2417447	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2419685	2429378	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2454499	2478292	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2523045	2524632	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2536071	2543316	.	.	3	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1
chr01	2567503	2581602	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	2586234	2591248	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	2604127	2606760	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	2637230	2645384	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	2649761	2659294	.	.	3	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
chr01	2716155	2732709	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2785074	2795385	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2798712	2805822	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2810503	2831520	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	2849504	2861266	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	2863240	2871885	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2893942	2900302	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2928010	2933287	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2950188	2986336	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3029060	3031667	.	.	3	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1
chr01	3069520	3083559	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	3092459	3103480	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	3122671	3130314	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3164329	3179332	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	3191364	3195577	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3216480	3230851	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3292476	3303632	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	3305563	3312161	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3320831	3328108	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3358367	3367234	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3373636	3376753	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3381553	3391913	.	.	3	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
chr01	3417737	3425937	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3437959	3442551	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	3450523	3477498	.	.	3	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
chr01	3486779	3497998	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3499774	3509842	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	3515858	3524411	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3568249	3571940	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	3600429	3607210	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3620417	3621328	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	3636267	3646117	.	.	3	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
chr01	3683438	3692916	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3750555	3763996	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3765094	3771548	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3778666	3784873	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3830726	3834482	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3835532	3863668	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3864761	3866867	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3875963	3883102	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3898518	3918177	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3939472	3954624	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3960046	3968351	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3981192	3986067	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	3994777	4010850	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4044656	4047500	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4093453	4104410	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4127299	4131782	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4150818	4163924	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4174868	4186603	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4195701	4214517	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4282368	4296439	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4298770	4315327	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4390799	4397746	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4406484	4410097	.	.	3	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0
chr01	4420444	4423710	.	.	3	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0
chr01	4487954	4494276	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4521941	4524487	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4531646	4540222	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4600926	4605341	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4613922	4621610	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4631807	4641750	.	.	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
chr01	4699628	4706485	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	4728177	4746538	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4767635	4775304	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4830628	4844159	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4876555	4890155	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4897553	4912052	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	4914478	4916508	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4919798	4932914	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5061223	5065269	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5092307	5097099	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5124280	5128305	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5175421	5185880	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5191791	5206369	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5208354	5212250	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5215426	5230581	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5257602	5262904	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5384364	5396496	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5403445	5406765	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5435214	5440631	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5472157	5475324	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	5488232	5490912	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5519192	5528421	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5535088	5539009	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	5569606	5571805	.	.	3	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1
chr01	5585268	5590146	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5603187	5612852	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5619160	5624524	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5697092	5703044	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5731464	5735412	.	.	3	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
chr01	5750455	5750950	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5771730	5786539	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	5799810	5802405	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5827005	5839149	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5865354	5876376	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	5878735	5892024	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5907349	5918050	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5925740	5932356	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5943826	5949591	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5962483	5967427	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	5978586	5983961	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5996128	6004995	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6009586	6023793	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6061387	6089775	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6094628	6101728	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6103436	6111604	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6125804	6130978	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
